"","iso2700xIndex","iso2700xWortlaut","iso2700xDokument","iso2700xReferenz"
"28","ISO27001 5.28","Die Organisation muss Verfahren für die Ermittlung, Sammlung, Beschaffung und Aufbewahrung von Beweismaterial im Zusammenhang mit Informationssicherheitsereignissen einführen und umsetzen.","ISO/IEC 27001:2022, Edition 3",NA
"29","ISO27001 5.29","Die Organisation muss planen, wie die Informationssicherheit während einer Störung auf einem angemessenen Niveau gehalten werden kann.","ISO/IEC 27001:2022, Edition 3",NA
"30","ISO27001 5.30","Die IKT-Bereitschaft muss auf der Grundlage von Business-Continuity- Zielen und IKT-Kontinuitätsanforderungen geplant, umgesetzt, aufrechterhalten und geprüft werden.","ISO/IEC 27001:2022, Edition 3",NA
"31","ISO27001 5.31","Rechtliche, gesetzliche, behördliche und vertragliche Anforderungen, die für die Informationssicherheit relevant sind, und die Vorgehensweise der Organisation zur Erfüllung dieser Anforderungen müssen ermittelt, dokumentiert und auf dem neuesten Stand gehalten werden.","ISO/IEC 27001:2022, Edition 3",NA
"32","ISO27001 5.32","Die Organisation muss geeignete Verfahren zum Schutz der Rechte an geistigem Eigentum einführen.","ISO/IEC 27001:2022, Edition 3",NA
"33","ISO27001 5.33","Aufzeichnungen müssen vor Verlust, Zerstörung, Fälschung, unbefugtem Zugriff und unbefugter Veröffentlichung geschützt sein.","ISO/IEC 27001:2022, Edition 3",NA
"34","ISO27001 5.34","Die Organisation muss die Anforderungen an die Wahrung der Privatsphäre und den Schutz personenbezogener Daten nach den geltenden Gesetzen und Vorschriften sowie den vertraglichen Anforderungen ermitteln und erfüllen.","ISO/IEC 27001:2022, Edition 3",NA
"35","ISO27001 5.35","Die Vorgehensweise der Organisation für die Handhabung der Informationssicherheit und deren Umsetzung einschließlich der Mitarbeiter, Prozesse und Technologien müssen auf unabhängige Weise in planmäßigen Abständen oder jeweils bei erheblichen Änderungen überprüft werden.","ISO/IEC 27001:2022, Edition 3",NA
"36","ISO27001 5.36","Die Einhaltung der Informationssicherheitspolitik der Organisation und ihrer themenspezifischen Richtlinien, Regeln und Normen muss regelmäßig überprüft werden.","ISO/IEC 27001:2022, Edition 3",NA
"37","ISO27001 5.37","Die Betriebsverfahren für Informationsverarbeitungsanlagen müssen dokumentiert und dem Personal, das sie benötigt, zur Verfügung gestellt werden.","ISO/IEC 27001:2022, Edition 3",NA
"38","ISO27001 6.1","Alle Personen, die in die Belegschaft aufgenommen werden, müssen vor dem Eintritt in die Organisation und fortlaufend unter Berücksichtigung geltender Gesetze, Vorschriften und ethischer Grundsätze einer Sicherheitsüberprüfung unterzogen werden und diese Überprüfung muss in einem angemessenen Verhältnis zu den geschäftlichen Anforderungen, der Einstufung der einzuholenden Informationen und den wahrgenommenen Risiken stehen.","ISO/IEC 27001:2022, Edition 3",NA
"39","ISO27001 6.2","In den arbeitsvertraglichen Vereinbarungen müssen die Verantwortlichkeiten des Personals und der Organisation für die Informationssicherheit festgelegt werden.","ISO/IEC 27001:2022, Edition 3",NA
"40","ISO27001 6.3","Das Personal der Organisation und relevante interessierte Parteien müssen ein angemessenes Bewusstsein für die Informationssicherheit, eine entsprechende Ausbildung und Schulung sowie regelmäßige Aktualisierungen der Informationssicherheitspolitik der Organisation, themenspezifischer Richtlinien und Verfahren erhalten, die für ihr berufliches Arbeitsgebiet relevant sind.","ISO/IEC 27001:2022, Edition 3",NA
"41","ISO27001 6.4","Ein Maßregelungsprozess muss formalisiert und kommuniziert werden, um Schritte gegen Mitarbeiter und andere interessierte Parteien zu ergreifen, die einen Verstoß gegen die Informationssicherheitspolitik begangen haben.","ISO/IEC 27001:2022, Edition 3",NA
"42","ISO27001 6.5","Verantwortlichkeiten und Pflichten im Bereich der Informationssicherheit, die auch nach Beendigung oder Änderung von Beschäftigungsverhältnissen bestehen bleiben, müssen festgelegt, durchgesetzt und den betreffenden Mitarbeitern und anderen interessierten Parteien mitgeteilt werden.","ISO/IEC 27001:2022, Edition 3",NA
"43","ISO27001 6.6","Vertraulichkeits- oder Geheimhaltungsvereinbarungen, welche den Bedarf der Organisation am Schutz von Informationen widerspiegeln, müssen identifiziert, dokumentiert, regelmäßig überprüft und von den Mitarbeitern und anderen interessierten Parteien unterzeichnet werden.","ISO/IEC 27001:2022, Edition 3",NA
"44","ISO27001 6.7","Es müssen Sicherheitsmaßnahmen ergriffen werden, wenn Mitarbeiter aus der Ferne arbeiten, um Informationen zu schützen, die außerhalb der Räumlichkeiten des Unternehmens abgerufen, verarbeitet oder gespeichert werden.","ISO/IEC 27001:2022, Edition 3",NA
"45","ISO27001 6.8","Die Organisation muss einen Mechanismus bereitstellen, der es den Mitarbeitern ermöglicht, beobachtete oder vermutete Informationssicherheitsereignisse über geeignete Kanäle rechtzeitig zu melden.","ISO/IEC 27001:2022, Edition 3",NA
"46","ISO27001 7.1","Zum Schutz von Bereichen, in denen sich Informationen und andere damit verbundene Werte befinden, müssen Sicherheitsperimeter festgelegt und verwendet werden.","ISO/IEC 27001:2022, Edition 3",NA
"47","ISO27001 7.2","Sicherheitsbereiche müssen durch eine angemessene Zutrittssteuerung und Zutrittsstellen geschützt werden.","ISO/IEC 27001:2022, Edition 3",NA
"48","ISO27001 7.3","Die physische Sicherheit von Büros, Räumen und Einrichtungen muss konzipiert und umgesetzt werden.","ISO/IEC 27001:2022, Edition 3",NA
"49","ISO27001 7.4","Die Räumlichkeiten müssen ständig auf unbefugten physischen Zugang überwacht werden.","ISO/IEC 27001:2022, Edition 3",NA
"50","ISO27001 7.5","Der Schutz vor physischen und umweltbedingten Bedrohungen wie Naturkatastrophen und anderen absichtlichen oder unabsichtlichen physischen Bedrohungen der Infrastruktur muss geplant und umgesetzt werden.","ISO/IEC 27001:2022, Edition 3",NA
"51","ISO27001 7.6","Es müssen Sicherheitsmaßnahmen für die Arbeit in Sicherheitsbereichen konzipiert und umgesetzt werden.","ISO/IEC 27001:2022, Edition 3",NA
"52","ISO27001 7.7","Es müssen klare Regeln für eine aufgeräumte Arbeitsumgebung hinsichtlich Unterlagen und Wechseldatenträgern und klare Regeln für Bildschirmsperren für informationsverarbeitende Einrichtungen festgelegt und angemessen durchgesetzt werden.","ISO/IEC 27001:2022, Edition 3",NA
"53","ISO27001 7.8","Geräte und Betriebsmittel müssen sicher und geschützt aufgestellt werden.","ISO/IEC 27001:2022, Edition 3",NA
"54","ISO27001 7.9","Werte außerhalb des Standorts müssen geschützt werden.","ISO/IEC 27001:2022, Edition 3",NA
"55","ISO27001 7.10","Speichermedien müssen während ihres gesamten Lebenszyklus– Erwerb, Verwendung, Transport und Entsorgung– in Übereinstimmung mit dem Klassifizierungsschema und den Handhabungsanforderungen der Organisation verwaltet werden.","ISO/IEC 27001:2022, Edition 3",NA
"56","ISO27001 7.11","Informationsverarbeitungseinrichtungen müssen vor Stromausfällen und anderen Störungen, die durch Ausfälle von unterstützenden Versorgungseinrichtungen verursacht werden, geschützt werden.","ISO/IEC 27001:2022, Edition 3",NA
"57","ISO27001 7.12","Kabel, die Strom, Daten oder unterstützende Informationsdienste transportieren, müssen vor Abhören, Störung oder Beschädigung geschützt werden.","ISO/IEC 27001:2022, Edition 3",NA
"58","ISO27001 7.13","Geräte und Betriebsmittel müssen ordnungsgemäß gewartet werden, um die Verfügbarkeit, Integrität und Vertraulichkeit der Informationen sicherzustellen.","ISO/IEC 27001:2022, Edition 3",NA
"59","ISO27001 7.14","Arten von Geräten und Betriebsmitteln, die Speichermedien enthalten, müssen überprüft werden, um sicherzustellen, dass jegliche sensiblen Daten und lizenzierte Software vor ihrer Entsorgung oder Wiederverwendung entfernt oder sicher überschrieben worden sind.","ISO/IEC 27001:2022, Edition 3",NA
"60","ISO27001 8.1","Informationen, die auf Endpunktgeräten der Benutzer gespeichert sind, von ihnen verarbeitet werden oder über sie zugänglich sind, müssen geschützt werden.","ISO/IEC 27001:2022, Edition 3",NA
"61","ISO27001 8.2","Zuteilung und Gebrauch von privilegierten Zugangsrechten müssen eingeschränkt und verwaltet werden.","ISO/IEC 27001:2022, Edition 3",NA
"62","ISO27001 8.3","Der Zugang zu Informationen und anderen damit verbundenen Werten muss in Übereinstimmung mit der festgelegten themenspezifischen Richtlinie zur Zugangssteuerung eingeschränkt werden.","ISO/IEC 27001:2022, Edition 3",NA
"63","ISO27001 8.4","Lese- und Schreibzugriff auf den Quellcode, die Entwicklungswerkzeuge und die Softwarebibliotheken müssen angemessen verwaltet werden.","ISO/IEC 27001:2022, Edition 3",NA
"64","ISO27001 8.5","Sichere Authentisierungstechnologien und -verfahren müssen auf der Grundlage von Informationszugangsbeschränkungen und der themenspezifischen Richtlinie zur Zugangssteuerung implementiert werden.","ISO/IEC 27001:2022, Edition 3",NA
"65","ISO27001 8.6","Die Nutzung von Ressourcen muss überwacht und entsprechend den aktuellen und erwarteten Kapazitätsanforderungen angepasst werden.","ISO/IEC 27001:2022, Edition 3",NA
"66","ISO27001 8.7","Schutz gegen Schadsoftware muss umgesetzt und durch angemessene Sensibilisierung der Benutzer unterstützt werden.","ISO/IEC 27001:2022, Edition 3",NA
"67","ISO27001 8.8","Es müssen Informationen über technische Schwachstellen verwendeter Informationssysteme eingeholt, die Gefährdung der Organisation durch derartige Schwachstellen bewertet und angemessene Maßnahmen ergriffen werden.","ISO/IEC 27001:2022, Edition 3",NA
"68","ISO27001 8.9","Konfigurationen, einschließlich Sicherheitskonfigurationen, von Hardware, Software, Diensten und Netzwerken müssen festgelegt, dokumentiert, umgesetzt, überwacht und überprüft werden.","ISO/IEC 27001:2022, Edition 3",NA
"69","ISO27001 8.10","Informationen, die in Informationssystemen, Geräten oder auf anderen Speichermedien gespeichert sind, müssen gelöscht werden, wenn sie nicht mehr benötigt werden.","ISO/IEC 27001:2022, Edition 3",NA
"70","ISO27001 8.11","Die Datenmaskierung muss in Übereinstimmung mit den themenspezifischen Richtlinien der Organisation zur Zugangssteuerung und anderen damit zusammenhängenden themenspezifischen Richtlinien sowie den geschäftlichen Anforderungen und unter Berücksichtigung der geltenden Rechtsvorschriften eingesetzt werden.","ISO/IEC 27001:2022, Edition 3",NA
"71","ISO27001 8.12","Maßnahmen zur Verhinderung von Datenlecks müssen auf Systeme, Netzwerke und alle anderen Geräte angewendet werden, die sensible Informationen verarbeiten, speichern oder übermitteln.","ISO/IEC 27001:2022, Edition 3",NA
"72","ISO27001 8.13","herungskopien von Informationen, Software und Systemen müssen in Übereinstimmung mit der vereinbarten themenspezifischen Richtlinie zu Datensicherungen aufbewahrt und regelmäßig geprüft werden.","ISO/IEC 27001:2022, Edition 3",NA
"73","ISO27001 8.14","Informationsverarbeitende Einrichtungen müssen mit ausreichender Redundanz für die Einhaltung der Verfügbarkeitsanforderungen realisiert werden.","ISO/IEC 27001:2022, Edition 3",NA
"74","ISO27001 8.15","Protokolle, die Aktivitäten, Ausnahmen, Fehler und andere relevante Ereignisse aufzeichnen, müssen erstellt, gespeichert, geschützt und analysiert werden.","ISO/IEC 27001:2022, Edition 3",NA
"75","ISO27001 8.16","Netzwerke, Systeme und Anwendungen müssen auf anormales Verhalten überwacht und geeignete Maßnahmen müssen ergriffen werden, um potentielle Informationssicherheitsvorfälle zu bewerten.","ISO/IEC 27001:2022, Edition 3",NA
"76","ISO27001 8.17","Die Uhren der von der Organisation verwendeten Informationsverarbeitungssysteme müssen mit zugelassenen Zeitquellen synchronisiert werden.","ISO/IEC 27001:2022, Edition 3",NA
"77","ISO27001 8.18","Der Gebrauch von Hilfsprogrammen, die fähig sein können, System- und Anwendungsschutzmaßnahmen zu umgehen, muss eingeschränkt und streng überwacht werden.","ISO/IEC 27001:2022, Edition 3",NA
"78","ISO27001 8.19","Es müssen Verfahren und Maßnahmen umgesetzt werden, um die Installation von Software auf in Betrieb befindlichen Systemen sicher zu verwalten.","ISO/IEC 27001:2022, Edition 3",NA
"79","ISO27001 8.20","Netzwerke und Netzwerkgeräte müssen gesichert, verwaltet und kontrolliert werden, um Informationen in Systemen und Anwendungen zu schützen.","ISO/IEC 27001:2022, Edition 3",NA
"80","ISO27001 8.21","Sicherheitsmechanismen, Dienstgüte und Dienstanforderungen für Netzwerkdienste müssen ermittelt, umgesetzt und überwacht werden.","ISO/IEC 27001:2022, Edition 3",NA
"81","ISO27001 8.22","Informationsdienste, Benutzer und Informationssysteme müssen in Netzwerken der Organisation gruppenweise voneinander getrennt gehalten werden.","ISO/IEC 27001:2022, Edition 3",NA
"82","ISO27001 8.23","Der Zugang zu externen Websites muss verwaltet werden, um die Gefährdung durch bösartige Inhalte zu verringern.","ISO/IEC 27001:2022, Edition 3",NA
"83","ISO27001 8.24","Es müssen Regeln für den wirksamen Einsatz von Kryptographie, einschließlich der Verwaltung kryptographischer Schlüssel, festgelegt und umgesetzt werden.","ISO/IEC 27001:2022, Edition 3",NA
"84","ISO27001 8.25","Regeln für die sichere Entwicklung von Software und Systemen müssen festgelegt und angewendet werden.","ISO/IEC 27001:2022, Edition 3",NA
"85","ISO27001 8.26","Die Anforderungen an die Informationssicherheit müssen bei der Entwicklung oder Beschaffung von Anwendungen ermittelt, spezifiziert und genehmigt werden.","ISO/IEC 27001:2022, Edition 3",NA
"86","ISO27001 8.27","Grundsätze für die Entwicklung sicherer Systeme müssen festgelegt, dokumentiert, aufrechterhalten und bei allen Aktivitäten der Informationssystemsentwicklung angewendet werden.","ISO/IEC 27001:2022, Edition 3",NA
"87","ISO27001 8.28","Bei der Softwareentwicklung müssen die Grundsätze der sicheren Codierung angewandt werden.","ISO/IEC 27001:2022, Edition 3",NA
"88","ISO27001 8.29","Sicherheitsprüfverfahren müssen definiert und in den Entwicklungslebenszyklus integriert werden.","ISO/IEC 27001:2022, Edition 3",NA
"89","ISO27001 8.30","Die Organisation muss die Aktivitäten im Zusammenhang mit der ausgegliederten Systementwicklung leiten, überwachen und überprüfen.","ISO/IEC 27001:2022, Edition 3",NA
"90","ISO27001 8.31","Entwicklungs-, Test- und Produktionsumgebungen müssen getrennt und gesichert werden.","ISO/IEC 27001:2022, Edition 3",NA
"91","ISO27001 8.32","Änderungen an Informationsverarbeitungseinrichtungen und Informationssystemen müssen Gegenstand von Änderungsmanagementverfahren sein.","ISO/IEC 27001:2022, Edition 3",NA
"92","ISO27001 8.33","Die Testdaten müssen in geeigneter Weise ausgewählt, geschützt und verwaltet werden.","ISO/IEC 27001:2022, Edition 3",NA
"93","ISO27001 8.34","Tests im Rahmen von Audits und andere Sicherheitstätigkeiten, die eine Beurteilung der in Betrieb befindlichen Systeme beinhalten, müssen zwischen dem Prüfer und dem zuständigen Management geplant und vereinbart werden.","ISO/IEC 27001:2022, Edition 3",NA
"94","ISO27002 5.1","Die Organisation sollte auf höchster Ebene eine „Informationssicherheitspolitik“ definieren, die von der obersten Leitung genehmigt ist und einen Ansatz zur Bewältigung der Informationssicherheit festlegt.
Die Informationssicherheitspolitik sollte die Anforderungen berücksichtigen, die sich aus folgenden Punkten ergeben:
a) Geschäftsstrategie und Anforderungen;
b) Vorschriften, Gesetze und Verträge;
c) die aktuellen und voraussichtlichen Informationssicherheitsrisiken und -bedrohungen.                                                                                                                                                                                                   
Die Informationssicherheitspolitik sollte Aussagen enthalten über:
a) Definition der Informationssicherheit;
b) Informationssicherheitsziele oder den Rahmen zum Festlegen von Informationssicherheitszielen;
c) Grundsätze, um alle Aktivitäten in Bezug auf Informationssicherheit lenken zu können;
d) Verpflichtung zur Erfüllung zutreffender Anforderungen mit Bezug zur Informationssicherheit;
e) Verpflichtung zur fortlaufenden Verbesserung des Informationssicherheitsmanagementsystems;
f) Zuordnung von Verantwortlichkeiten zu definierten Rollen für die Handhabung von Informationssicherheit;
g) Verfahren für den Umgang mit Befreiungen und Ausnahmen.
Die oberste Leitung sollte alle Änderungen an der Informationssicherheitspolitik genehmigen.
Auf tieferer Ebene sollte die Informationssicherheitspolitik bei Bedarf durch themenspezifische Richtlinien unterstützt werden, die zusätzlich die Umsetzung von Maßnahmen zur Informationssicherheit anordnen. Themenspezifische Richtlinien sind in der Regel so aufgebaut, dass die Bedürfnisse gewisser Zielgruppen einer Organisation angesprochen oder bestimmte Sicherheitsbereiche abgedeckt werden. Themenspezifische Richtlinien sollten auf die Informationssicherheitspolitik der Organisation abgestimmt sein und diese ergänzen.
Beispiele für solche Themen sind unter anderen:
a) Zugangssteuerung;
b) physische und umgebungsbezogene Sicherheit;
c) Verwaltung der Werte;
d) Informationsübertragung;
e) sichere Konfiguration und Handhabung von Benutzerendpunktgeräten;
f) Netzwerksicherheit;
g) Handhabung von Informationssicherheitsvorfällen;
h) Datensicherung;
i) Kryptographie und Schlüsselverwaltung;
j) Informationsklassifizierung und deren Handhabung;
k) Handhabung von technischen Schwachstellen;
l) sichere Entwicklung.
Die Verantwortung für die Entwicklung, Überprüfung und Genehmigung der themenspezifischen Richtlinien sollte dem zuständigen Personal auf der Grundlage seiner entsprechenden Befugnisse und fachlichen Kompetenz übertragen werden. Die Überprüfung sollte eine Bewertung von Möglichkeiten zur Verbesserung der Informationssicherheitspolitik der Organisation und themenspezifischer Richtlinien sowie die Verwaltung der Informationssicherheit als Reaktion auf Änderungen bei Folgendem umfassen:
a) der Geschäftsstrategie des Unternehmens;
b) dem technischen Umfeld der Organisation;
c) Vorschriften, Satzungen, Gesetze und Verträge;
d) Informationssicherheitsrisiken;
e) dem aktuellen und voraussichtlichen Bedrohungsumfeld der Informationssicherheit;
f) Lehren aus Informationssicherheitsereignissen und -vorfällen im Bereich der Informationssicherheit.

Bei der Überprüfung der Informationssicherheitspolitik und der themenspezifischen Richtlinien sollten die Ergebnisse von Managementprüfungen und Audits berücksichtigt werden. Die Überprüfung und Aktualisierung anderer damit zusammenhängender Richtlinien sollten in Betracht gezogen werden, wenn eine Richtlinie geändert wird, um die Konsistenz zu wahren.
Die Informationssicherheitspolitik und die themenspezifischen Richtlinien sollten dem zuständigen Personal und den interessierten Kreisen in einer Form mitgeteilt werden, die relevant, zugänglich und für den vorgesehenen Leser verständlich ist. Von den Empfängern der Richtlinien sollte verlangt werden, dass sie bestätigen, die Richtlinien verstanden zu haben und sie gegebenenfalls einzuhalten. Die Organisation kann die Formate und Bezeichnungen dieser Richtliniendokumente festlegen, die ihren Bedürfnissen entsprechen. In einigen Organisationen können die Informationssicherheitspolitik und die themenspezifischen Richtlinien in einem einzigen Dokument zusammengefasst werden. Die Organisation kann diese themenspezifischen Richtlinien als Normen, Direktiven, Richtlinien oder anders bezeichnen.
Wird die Informationssicherheitspolitik oder eine themenspezifische Richtlinie außerhalb der Organisation verbreitet, sollte darauf geachtet werden, dass vertrauliche Informationen nicht missbräuchlich weitergegeben werden.

Weitere Informationen
Themenspezifische Richtlinien können von Organisation zu Organisation unterschiedlich sein.","ISO/IEC 27002:2017-06",NA
"95","ISO27002 5.2","Die Zuweisung von Rollen und Verantwortlichkeiten im Bereich der Informationssicherheit sollte in Übereinstimmung mit der Informationssicherheitspolitik und den themenspezifischen Richtlinien erfolgen (siehe 5.1). Die Organisation sollte Verantwortlichkeiten für folgende Bereiche festlegen und verwalten:
a) Schutz von Informationen und anderen damit verbundenen Werten;
b) Durchführung spezifischer Verfahren der Informationssicherheit;
c) Risikomanagementaktivitäten im Bereich der Informationssicherheit und insbesondere die Übernahme von Restrisiken (z. B. gegenüber den Risikoverantwortlichen);
d) das gesamte Personal nutzt die Informationen einer Organisation und andere damit verbundene Werte.
Diese Verantwortlichkeiten sollten soweit erforderlich um detaillierte Anleitungen für bestimmte Standorte und Einrichtungen der Informationsverarbeitung erweitert werden. Personen mit zugeordneten Verantwortlichkeiten für Informationssicherheit können anderen Sicherheitsaufgaben zuweisen. Jedoch bleiben sie rechenschaftspflichtig und sollten feststellen, ob alle übertragenen Aufgaben ordnungsgemäß durchgeführt wurden.
Jeder Sicherheitsbereich, für den einzelne Personen verantwortlich sind, sollte definiert, dokumentiert und kommuniziert werden. Berechtigungsebenen sollten definiert und dokumentiert werden. Personen, die eine bestimmte Aufgabe im Bereich der Informationssicherheit übernehmen, sollten über die für diese Aufgabe erforderlichen Kenntnisse und Fähigkeiten verfügen und dabei unterstützt werden, sich über die Entwicklungen auf dem Laufenden zu halten, die mit dieser Aufgabe zusammenhängen und für die Erfüllung der mit dieser Rolle verbundenen Pflichten erforderlich sind.

Weitere Informationen
Viele Organisationen ernennen einen Manager für Informationssicherheit, der die Gesamtverantwortung für Entwicklung und Umsetzung der Informationssicherheit übernimmt und die Identifizierung von Risiken und Kontrollmechanismen zur Risikominderung unterstützt.
Allerdings verbleibt die Verantwortung für die Bereitstellung von Mitteln und Umsetzung von Maßnahmen oft bei den einzelnen Managern. Eine gängige Praxis ist es, einen Eigentümer für jeden Wert zu ernennen, der dann für den laufenden Schutz der Werte verantwortlich ist.
Je nach Größe und Ressourcenausstattung einer Organisation kann die Informationssicherheit durch spezielle Funktionen oder durch Aufgaben abgedeckt werden, die zusätzlich zu den bestehenden Funktionen ausgeführt werden.","ISO/IEC 27002:2017-06","5.1"
