"","Index","Wortlaut","Referenz"
"11","AT 2.1 2","Finanzdienstleistungsinstitute und große Wertpapierfirmen gemäß § 2 Abs. 18 des Wertpapierinstitutsgesetzes, welche aufgrund der Vorgabe des § 4 dieses Gesetzes zur Anwendung der §§ 25a und 25b des KWG verpflichtet sind, haben die Anforderungen des Rundschreibens insoweit zu beachten, wie dies vor dem Hintergrund der Institutsgröße sowie von Art, Umfang, Komplexität und Risikogehalt der Geschäftsaktivitäten zur Einhaltung der gesetzlichen Pflichten aus §§ 25a und 25b KWG geboten erscheint. Dies gilt insbesondere für die Module AT 3, AT 5, AT 7 und AT 9.","KWG § 25a; KWG § 25b; WpHG § 2 (18); WpHG § 4"
"12","AT 2.2 1","Die Anforderungen des Rundschreibens beziehen sich auf das Management der für das Institut wesentlichen Risiken. Zur Beurteilung der Wesentlichkeit hat sich die Geschäftsleitung regelmäßig und anlassbezogen im Rahmen einer Risikoinventur einen Überblick über die Risiken des Instituts zu verschaffen (Gesamtrisikoprofil). Die Risiken sind auf der Ebene des gesamten Instituts zu erfassen, unabhängig davon, in welcher Organisationseinheit die Risiken verursacht wurden. Grundsätzlich sind zumindest die folgenden Risiken als wesentlich einzustufen: a) Adressenausfallrisiken (einschließlich Länderrisiken), b) Marktpreisrisiken, c) Liquiditätsrisiken und d) operationelle Risiken. Mit wesentlichen Risiken verbundene Risikokonzentrationen sind zu berücksichtigen. Für Risiken, die als nicht wesentlich eingestuft werden, sind angemessene Vorkehrungen zu treffen. Risikokonzentrationen Neben solchen Risikopositionen gegenüber Einzeladressen, die allein aufgrund ihrer Größe eine Risikokonzentration darstellen, können Risikokonzentrationen sowohl durch den Gleichlauf von Risikopositionen innerhalb einer Risikoart („Intra-Risikokonzentrationen“) als auch durch den Gleichlauf von Risikopositionen über verschiedene Risikoarten hinweg (durch gemeinsame Risikofaktoren oder durch Interaktionen verschiedener Risikofaktoren unterschiedlicher Risikoarten - „Inter-Risikokonzentrationen“) entstehen.",NA
"13","AT 2.2 2","Das Institut hat im Rahmen der Risikoinventur zu prüfen, welche Risiken die Vermögenslage (inklusive Kapitalausstattung), die Ertragslage oder die Liquiditätslage wesentlich beeinträchtigen können. Die Risikoinventur darf sich dabei nicht ausschließlich an den Auswirkungen in der Rechnungslegung sowie an formalrechtlichen Ausgestaltungen orientieren. Ganzheitliche Risikoinventur Bei der Risikoinventur sind auch Risiken aus außerbilanziellen Gesellschafts-konstruktionen zu betrachten (z. B. Risiken aus nicht konsolidierungspflichtigen Zweckgesellschaften). Abhängig vom konkreten Gesamtrisikoprofil des Instituts sind ggf. auch sonstige Risiken, wie etwa Reputationsrisiken, als wesentlich einzustufen.",NA
"14","AT 2.3 1","Kreditgeschäfte im Sinne dieses Rundschreibens sind grundsätzlich Geschäfte nach Maßgabe des § 19 Abs. 1 KWG (Bilanzaktiva und außerbilanzielle Geschäfte mit Adressenausfallrisiken). Kreditgeschäfte Die Einstufung als Kreditgeschäft gilt unabhängig davon, ob die maßgeblichen Positionen Gegenstand von Verbriefungen sein sollen oder nicht.","KWG § 19 (1)"
"15","AT 2.3 2","Im Sinne dieses Rundschreibens gilt als Kreditentscheidung jede Entscheidung über Neukredite, Krediterhöhungen, Beteiligungen, Limitüberschreitungen, die Festlegung von kreditnehmerbezogenen Limiten sowie von Kontrahenten- und Emittentenlimiten, Prolongationen und Änderungen risikorelevanter Sachverhalte, die dem Kreditbeschluss zugrunde lagen (z. B. Sicherheiten, Verwendungszweck). Dabei ist es unerheblich, ob diese Entscheidung ausschließlich vom Institut selbst oder gemeinsam mit anderen Instituten getroffen wird (so genanntes Konsortialgeschäft). Prolongationen Hinsichtlich des Begriffes „Prolongationen“ wird nicht zwischen externen und internen Prolongationen (z. B. interne Verlängerung von extern b. a. w. zugesagten Krediten) unterschieden. Interne „Überwachungsvorlagen“, die lediglich der Kreditüberwachung während der Laufzeit dienen, gelten hingegen nicht als Prolongationen und damit nicht als Kreditentscheidungen im Sinne dieses Rundschreibens. Zinsanpassungen Nach Ablauf von Zinsbindungsfristen (die nicht mit der Gesamtlaufzeit übereinstimmen) erfolgende Zinsanpassungen können als Bestandteil des Gesamtkreditvertrages angesehen werden, die vor Kreditvergabe (mit)geprüft werden. Es handelt sich daher grundsätzlich nicht um eine gesonderte Kreditentscheidung im Sinne dieses Rundschreibens. Stundungen Stundungen stellen keine von vornherein geplanten Änderungen des Kreditverhältnisses dar. Sie dienen z. B. der kurzzeitigen Überbrückung der Zeit bis zu einer Sanierung und sind somit als Kreditentscheidung im Sinne dieses Rundschreibens zu qualifizieren.",NA
"16","AT 2.3 3","Handelsgeschäfte sind grundsätzlich alle Abschlüsse, die ein Finanzinstrument im Sinne des § 1 Abs. 11 KWG in Form eines a) Geldmarktgeschäfts, b) Wertpapiergeschäfts, c) Devisengeschäfts, d) Geschäfts in handelbaren Forderungen (z. B. Handel in Schuldscheinen), e) Geschäfts in Waren, f) Geschäfts in Derivaten oder g) Geschäfts in Kryptowerten zur Grundlage haben und die im eigenen Namen und für eigene Rechnung abgeschlossen werden. Als Wertpapiergeschäfte gelten auch Geschäfte mit Namensschuldverschreibungen sowie die Wertpapierleihe, nicht aber die Erstausgabe von Wertpapieren. Handelsgeschäfte sind auch, ungeachtet des Geschäftsgegenstandes, Vereinbarungen von Rückgabe- oder Rücknahmeverpflichtungen sowie Pensionsgeschäfte. Emissionsgeschäft Die Erstausgabe von Wertpapieren ist grundsätzlich kein Handelsgeschäft im Sinne dieses Rundschreibens. Hingegen stellt der Ersterwerb aus einer Emission ein Handelsgeschäft im Sinne dieses Rundschreibens dar. Beim Ersterwerb sind Erleichterungen im Hinblick auf die Marktgerechtigkeitskontrolle möglich (Erläuterungen zu BTO 2.2.2 Tz. 5). Einordnung von Forderungen als Handelsgeschäfte Zu d): Forderungen sind dann als Handelsgeschäfte zu qualifizieren, wenn von Seiten des Instituts eine Handelsabsicht besteht. Hierzu hat das Institut geeignete Kriterien festzulegen. Warengeschäfte Zu e): Zu den Geschäften in Waren zählen insbesondere der Handel mit Edelmetallen und Rohwaren sowie der CO2-Handel und der Stromhandel. Geschäfte in Waren im Sinne dieses Rundschreibens umfassen nicht die Warengeschäfte, die infolge fest getroffener Vereinbarungen über die Abnahme bzw. Lieferung der jeweiligen Ware zum Zeitpunkt der Erfüllung geschlossene Positionen während der gesamten Geschäftsdauer begründen. Traditionelles Warengeschäft von gemischtwirtschaftlichen Kreditgenossenschaften Für das traditionelle Warengeschäft von gemischtwirtschaftlichen Kreditgenossenschaften kann in Abhängigkeit von Art, Umfang und Risikogehalt dieser Geschäftsaktivitäten eine sinngemäße Umsetzung der Anforderungen für das Handelsgeschäft angemessen sein.","KWG § 1 (11)"
"17","AT 2.3 4","Zu den Geschäften in Derivaten gehören Termingeschäfte, deren Preis sich von einem zugrunde liegenden Aktivum, von einem Referenzpreis, Referenzzins, Referenzindex oder einem im Voraus definierten Ereignis ableitet. Garantien/Avale Garantien/Avale und Ähnliches fallen nicht unter die Derivate-Definition des Rundschreibens.",NA
"18","AT 3 1","Alle Geschäftsleiter (§ 1 Abs. 2 KWG) sind, unabhängig von der internen Zuständigkeitsregelung, für die ordnungsgemäße Geschäftsorganisation und deren Weiterentwicklung verantwortlich. Diese Verantwortung bezieht sich unter Berücksichtigung ausgelagerter Aktivitäten und Prozesse auf alle wesentlichen Elemente des Risikomanagements. Die Geschäftsleiter werden dieser Verantwortung nur gerecht, wenn sie die Risiken beurteilen können und die erforderlichen Maßnahmen zu ihrer Begrenzung treffen. Hierzu zählen auch die Entwicklung, Förderung und Integration einer angemessenen Risikokultur innerhalb des Instituts und der Gruppe. Die Geschäftsleiter eines übergeordneten Unternehmens einer Institutsgruppe oder Finanzholding-Gruppe bzw. eines übergeordneten Finanzkonglomeratsunternehmens sind zudem für die ordnungsgemäße Geschäftsorganisation in der Gruppe und somit auch für ein angemessenes und wirksames Risikomanagement auf Gruppenebene verantwortlich (§ 25a Abs. 3 KWG). Risikokultur Die Risikokultur beschreibt allgemein die Art und Weise, wie Mitarbeiter des Instituts im Rahmen ihrer Tätigkeit mit Risiken umgehen (sollen). Die Risikokultur soll die Identifizierung und den bewussten Umgang mit Risiken fördern und sicherstellen, dass Entscheidungsprozesse zu Ergebnissen führen, die auch unter Risikogesichtspunkten ausgewogen sind. Kennzeichnend für eine angemessene Risikokultur ist vor allem das klare Bekenntnis der Geschäftsleitung zu risikoangemessenem Verhalten, die strikte Beachtung des durch die Geschäftsleitung kommunizierten Risikoappetits durch alle Mitarbeiter und die Ermöglichung und Förderung eines transparenten und offenen Dialogs innerhalb des Instituts zu risikorelevanten Fragen.","KWG § 1 (2); KWG § 25a (3)"
"19","AT 3 2","Ungeachtet der Gesamtverantwortung der Geschäftsleitung für die ordnungsgemäße Geschäftsorganisation und insbesondere für ein angemessenes und wirksames Risikomanagement ist jeder Geschäftsleiter für die Einrichtung angemessener Kontroll- und Überwachungsprozesse in seinem jeweiligen Zuständigkeitsbereich verantwortlich.",NA
"20","AT 4.1 1","Auf der Grundlage des Gesamtrisikoprofils ist sicherzustellen, dass die wesentlichen Risiken des Instituts durch das Risikodeckungspotenzial, unter Berücksichtigung von Risikokonzentrationen, laufend abgedeckt sind und damit die Risikotragfähigkeit gegeben ist. Zusammenfassung unwesentlicher Risiken Werden mehrere Risiken jeweils als unwesentlich eingestuft, die zusammengefasst aber wesentlich sind, so müssen die Verfahren zur Sicherstellung der Risikotragfähigkeit eine angemessene Berücksichtigung der zusammengefassten Risiken gewährleisten.",NA
"21","AT 4.1 2","Das Institut hat einen internen Prozess zur Sicherstellung der Risikotragfähigkeit einzurichten. Die hierzu eingesetzten Verfahren haben sowohl das Ziel der Fortführung des Instituts als auch den Schutz der Gläubiger vor Verlusten aus ökonomischer Sicht angemessen zu berücksichtigen. Zur Erfüllung dieser Ziele sind Verfahren zur Sicherstellung der Risikotragfähigkeit zum einen aus der normativen Perspektive und zum anderen aus der ökonomischen Perspektive einzurichten. Ausgestaltung der Risikotragfähigkeitskonzepte Einzelheiten zur Ausgestaltung der Risikotragfähigkeitskonzepte ergeben sich aus dem Leitfaden zur aufsichtlichen Beurteilung bankinterner Risikotragfähigkeitskonzepte in der jeweils gültigen Fassung.",NA
"22","AT 4.1 3","Die Risikotragfähigkeit ist bei der Festlegung der Strategien (AT 4.2) sowie bei deren Anpassung zu berücksichtigen. Zur Umsetzung der Strategien bzw. zur Gewährleistung der Risikotragfähigkeit sind ferner geeignete Risikosteuerungs- und -controllingprozesse (AT 4.3.2) einzurichten.",NA
"23","AT 4.1 4","Wesentliche Risiken, die nicht in das Risikotragfähigkeitskonzept einbezogen werden, sind festzulegen. Ihre Nichtberücksichtigung ist nachvollziehbar zu begründen und nur dann möglich, wenn das jeweilige Risiko aufgrund seiner Eigenart nicht sinnvoll durch Risikodeckungspotenzial begrenzt werden kann (z. B. das Zahlungsunfähigkeitsrisiko). Es ist sicherzustellen, dass solche Risiken angemessen in den Risikosteuerungsund -controllingprozessen berücksichtigt werden.",NA
"24","AT 4.1 5","Verfügt ein Institut über keine geeigneten Verfahren zur Quantifizierung einzelner Risiken, die in das Risikotragfähigkeitskonzept einbezogen werden sollen, so ist für diese auf der Basis einer Plausibilisierung ein Risikobetrag festzulegen. Die Plausibilisierung kann auf der Basis einer qualifizierten Expertenschätzung durchgeführt werden.",NA
"25","AT 4.1 6","Soweit ein Institut innerhalb oder zwischen Risikoarten risikomindernde Diversifikationseffekte im Risikotragfähigkeitskonzept berücksichtigt, müssen die zugrunde liegenden Annahmen anhand einer Analyse der institutsindividuellen Verhältnisse getroffen werden und auf Daten basieren, die auf die individuelle Risikosituation des Instituts als übertragbar angesehen werden können. Die zugrunde liegenden Datenhistorien müssen ausreichend lang sein, um Veränderungen von Diversifikationseffekten in konjunkturellen Auf- und Abschwungphasen widerzuspiegeln. Diversifikationseffekte müssen so konservativ geschätzt werden, dass sie auch in konjunkturellen Abschwungphasen sowie bei im Hinblick auf die Geschäfts- und Risikostruktur des Instituts ungünstigen Marktverhältnissen als ausreichend stabil angenommen werden können. Datenhistorien Die Ableitung von Diversifikationseffekten in Form einer reinen Durchschnittsbildung über konjunkturelle Auf- und Abschwungphasen hinweg ist nur dann ausreichend, wenn sich die Diversifikationseffekte über den gesamten Konjunkturzyklus hinweg als sehr stabil erwiesen haben und keine Anhaltspunkte dafür vorliegen, dass sie in Zukunft nicht stabil bleiben werden. Ergibt die Analyse der Datenhistorie, dass diese Bedingungen nicht erfüllt sind, können Diversifikationseffekte höchstens in dem Ausmaß berücksichtigt werden, wie sie auch in für das Institut sehr ungünstigen Marktphasen Bestand haben. Die Festlegung von Diversifikationsannahmen innerhalb der Marktpreisrisiken kann ggf. auf Zeitreihen beruhen, die nicht alle Phasen eines Konjunkturzyklus abdecken. Es ist jedoch sicherzustellen, dass Diversifikationseffekte auch auf der Basis eines Zeitraums ermittelt werden, der im Hinblick auf das aktuelle Portfolio des Instituts eine ungünstige Marktphase darstellt. Beinhaltet die beobachtbare Historie keine entsprechend geeignete Marktphase, kann anstelle einer historischen ausnahmsweise eine hypothetische Marktphase berücksichtigt werden, die entsprechend konservativ ausgestaltet sein muss.",NA
"26","AT 4.1 7","Die Verlässlichkeit und die Stabilität der Diversifikationsannahmen sind regelmäßig und ggf. anlassbezogen zu überprüfen.",NA
"27","AT 4.1 8","Die Wahl der Methoden und Verfahren zur Beurteilung der Risikotragfähigkeit liegt in der Verantwortung des Instituts. Die den Methoden und Verfahren zugrunde liegenden Annahmen sind nachvollziehbar zu begründen. Die Festlegung wesentlicher Elemente der Risikotragfähigkeitssteuerung sowie wesentlicher zugrunde liegender Annahmen ist von der Geschäftsleitung zu genehmigen.",NA
"28","AT 4.1 9","Die Angemessenheit der Methoden und Verfahren ist zumindest jährlich durch die fachlich zuständigen Mitarbeiter zu überprüfen. Im Rahmen der Überprüfung ist den Grenzen und Beschränkungen, die sich aus den eingesetzten Methoden und Verfahren, den ihnen zugrunde liegenden Annahmen und den in die Risikoquantifizierung einfließenden Daten ergeben, hinreichend Rechnung zu tragen. Die Stabilität und Konsistenz der Methoden und Verfahren sowie die Aussagekraft der damit ermittelten Risiken sind insofern kritisch zu analysieren. Überprüfung der eingesetzten Methoden und Verfahren Das Institut muss gewährleisten, dass es jederzeit einen vollständigen und aktuellen Überblick über die Methoden und Verfahren hat, die zur Risikoquantifizierung verwendet werden. Da jegliche Methoden und Verfahren zur Risikoquantifizierung die Realität nicht vollständig abzubilden vermögen, ist dem Umstand, dass die Risikowerte Ungenauigkeiten – sowohl auf Ebene der Einzelrisiken als auch auf aggregierter Ebene - aufweisen oder das Risiko unterschätzen könnten, bei der Beurteilung der Risikotragfähigkeit hinreichend Rechnung zu tragen. Sind bei vergleichsweise einfachen und transparenten Verfahren die damit ermittelten Risikowerte im Hinblick auf die Grenzen und Beschränkungen der Verfahren erkennbar hinreichend konservativ, kann auf eine weitergehende Analyse verzichtet werden. Sind die Methoden und Verfahren, die ihnen zugrunde liegenden Annahmen, Parameter oder die einfließenden Daten vergleichsweise komplex, so ist eine entsprechend umfassende quantitative und qualitative Validierung dieser Komponenten sowie der Risikoergebnisse in Bezug auf ihre Verwendung erforderlich. Externe Daten In die Risikodeckungspotenzial- und Risikoermittlung sowie die Aggregation von Risikodaten dürfen keine Parameter einfließen, die auf der Basis von externen Daten und Annahmen ermittelt werden, die unreflektiert aus anderen Quellen übernommen wurden. Dies gilt nicht für die inhaltliche Überprüfung der Richtigkeit von öffentlich zugänglichen Marktinformationen (Zinssätzen, Marktpreisen, Renditen etc.). Auf externen Daten beruhende Annahmen zu Parametern der Risiko- oder Risikodeckungspotenzialermittlung setzen voraus, dass das Institut plausibel darlegen kann, dass die zugrunde liegenden Daten die tatsächlichen Verhältnisse des Instituts angemessen widerspiegeln. Basiert die Risikoermittlung auf Berechnungen Dritter (z. B. bei Fondsgesellschaften), hat sich das Institut aussagekräftige Informationen hierzu, insbesondere zu wesentlichen Annahmen und Parametern und zu Änderungen dieser Annahmen und Parameter vorlegen zu lassen.",NA
"29","AT 4.1 10","Ist aufgrund der vergleichsweisen Komplexität der Verfahren und Methoden, der zugrunde liegenden Annahmen oder der einfließenden Daten eine umfassende Validierung dieser Komponenten gemäß Tz. 9 durchzuführen, ist hierbei eine angemessene Unabhängigkeit zwischen Methodenentwicklung und Validierung zu gewährleisten. Die wesentlichen Ergebnisse der Validierung und ggf. Vorschläge für Maßnahmen zum Umgang mit bekannten Grenzen und Beschränkungen der Methoden und Verfahren sind der Geschäftsleitung vorzulegen.",NA
"30","AT 4.1 11","Jedes Institut muss über einen Prozess zur Planung des zukünftigen Kapitalbedarfs und des zur Deckung dieses Kapitalbedarfs verfügbaren Kapitals verfügen. Der Planungshorizont muss einen angemessen langen, mehrjährigen Zeitraum umfassen. Dabei ist zu berücksichtigen, wie sich in diesem Zeitraum Veränderungen der eigenen Geschäftstätigkeit oder der strategischen Ziele sowie Veränderungen des wirtschaftlichen Umfelds auf den Kapitalbedarf und auf den Kapitalbestand auswirken. Möglichen adversen Entwicklungen, die von den Erwartungen abweichen, ist bei der Planung angemessen Rechnung zu tragen.",NA
