"","Index","Wortlaut"
"25","HGB § 8b (3)"," Zur Einstellung in das Unternehmensregister sind dem Unternehmensregister zu übermitteln: 1.die Daten nach Absatz 2 Nummer 5 bis 8 durch den Betreiber des Bundesanzeigers,2.die Daten nach Absatz 2 Nummer 4, 9 und 10 sowie diejenigen Unterlagen, die dauerhaft hinterlegt werden sollen, durch den jeweils Offenlegungs- oder Veröffentlichungspflichtigen oder den von ihm mit der Veranlassung der Offenlegung oder Veröffentlichung beauftragten Dritten,3.die Daten nach Absatz 2 Nummer 13 durch die Bundesanstalt für Finanzdienstleistungsaufsicht.Die Landesjustizverwaltungen übermitteln die Daten nach Absatz 2 Nummer 1 bis 3, 11 und 12 zum Unternehmensregister, soweit die Übermittlung für die Eröffnung eines Zugangs zu den Originaldaten über die Internetseite des Unternehmensregisters erforderlich ist. Die das Unternehmensregister führende Stelle stellt dem Betreiber des Bundesanzeigers die nach Satz 2 von den Landesjustizverwaltungen übermittelten Daten zur Verfügung, soweit dies für die Erfüllung der Aufgabe der Zuordnung von Einreichungen beim Betreiber des Bundesanzeigers nach Absatz 2 Nummer 5 bis 8 erforderlich ist. Die Daten dürfen vom Betreiber des Bundesanzeigers nur für diese Zwecke verwendet werden. Die Bundesanstalt für Finanzdienstleistungsaufsicht überwacht die Übermittlung der Veröffentlichungen und der sonstigen der Öffentlichkeit zur Verfügung gestellten Informationen nach den §§ 5, 26 Absatz 1 und 2, § 40 Absatz 1, den §§ 41, 46 Absatz 2, den §§ 50, 51 Absatz 2, § 114 Absatz 1 bis § 116 Absatz 2, den §§ 117, 118 Absatz 4 und § 127 des Wertpapierhandelsgesetzes an das Unternehmensregister zur Einstellung und kann Anordnungen treffen, die zu ihrer Durchsetzung geeignet und erforderlich sind. Die Bundesanstalt kann die gebotene Übermittlung der in Satz 5 genannten Veröffentlichungen, der Öffentlichkeit zur Verfügung gestellten Informationen und Mitteilung auf Kosten des Pflichtigen vornehmen, wenn die Übermittlungspflicht nicht, nicht richtig, nicht vollständig oder nicht in der vorgeschriebenen Weise erfüllt wird. Für die Überwachungstätigkeit der Bundesanstalt gelten § 6 Absatz 3 Satz 1 und 3, Absatz 15 und 16, die §§ 13, 18 und 21 des Wertpapierhandelsgesetzes entsprechend."
"26","HGB § 8b (4)"," Die Führung des Unternehmensregisters schließt die Erteilung von Ausdrucken sowie die Beglaubigung entsprechend § 9 Abs. 3 und 4 hinsichtlich der im Unternehmensregister eingestellten Unterlagen der Rechnungslegung und Unternehmensberichte im Sinn des Absatzes 2 Nr. 4 ein."
"27","HGB § 8b (5)"," Die Führung des Unternehmensregisters schließt auch den Informationsaustausch nach § 9c ein.
"
"28","HGB § 9 ","§ 9Einsichtnahme in das Handelsregister und das Unternehmensregister
"
"29","HGB § 9 (1)"," Die Einsichtnahme in das Handelsregister sowie in die zum Handelsregister eingereichten Dokumente ist jedem zu Informationszwecken durch einzelne Abrufe gestattet. Die Landesjustizverwaltungen bestimmen das elektronische Informations- und Kommunikationssystem, über das die Daten aus den Handelsregistern abrufbar sind, und sind für die Abwicklung des elektronischen Abrufverfahrens zuständig. Die Landesregierung kann die Zuständigkeit durch Rechtsverordnung abweichend regeln; sie kann diese Ermächtigung durch Rechtsverordnung auf die Landesjustizverwaltung übertragen. Die Länder können ein länderübergreifendes, zentrales elektronisches Informations- und Kommunikationssystem bestimmen. Sie können auch eine Übertragung der Abwicklungsaufgaben auf die zuständige Stelle eines anderen Landes sowie mit dem Betreiber des Unternehmensregisters eine Übertragung der Abwicklungsaufgaben auf das Unternehmensregister vereinbaren."
"30","HGB § 9 (2)"," Sind Dokumente nur in Papierform vorhanden, kann die elektronische Übermittlung nur für solche Schriftstücke verlangt werden, die weniger als zehn Jahre vor dem Zeitpunkt der Antragstellung zum Handelsregister eingereicht wurden."
"31","HGB § 9 (3)"," Die Übereinstimmung der übermittelten Daten mit dem Inhalt des Handelsregisters und den zum Handelsregister eingereichten Dokumenten wird auf Antrag durch das Gericht beglaubigt. Dafür hat eine Authentifizierung durch einen Vertrauensdienst nach der Verordnung (EU) Nr. 910/2014 des Europäischen Parlaments und des Rates vom 23. Juli 2014 über elektronische Identifizierung und Vertrauensdienste für elektronische Transaktionen im Binnenmarkt und zur Aufhebung der Richtlinie 1999/93/EG (ABl. L 257 vom 28.8.2014, S. 73; L 23 vom 29.1.2015, S. 19; L 155 vom 14.6.2016, S. 44) zu erfolgen."
"32","HGB § 9 (4)"," Von den Eintragungen und den eingereichten Dokumenten kann ein Ausdruck verlangt werden. Von den zum Handelsregister eingereichten Schriftstücken, die nur in Papierform vorliegen, kann eine Abschrift gefordert werden. Die Abschrift ist von der Geschäftsstelle zu beglaubigen und der Ausdruck als amtlicher Ausdruck zu fertigen, wenn nicht auf die Beglaubigung verzichtet wird."
"33","HGB § 9 (5)"," Das Gericht hat auf Verlangen eine Bescheinigung darüber zu erteilen, dass bezüglich des Gegenstandes einer Eintragung weitere Eintragungen nicht vorhanden sind oder dass eine bestimmte Eintragung nicht erfolgt ist."
"34","HGB § 9 (6)"," Für die Einsichtnahme in das Unternehmensregister gilt Absatz 1 Satz 1 entsprechend. Anträge nach den Absätzen 2 bis 5 können auch über das Unternehmensregister an das Gericht vermittelt werden. Die Einsichtnahme in die beim Unternehmensregister zur dauerhaften Hinterlegung eingestellten Daten erfolgt nur auf Antrag durch Übermittlung einer Kopie."
"35","HGB § 9a ","§ 9aÜbertragung der Führung des Unternehmensregisters; Verordnungsermächtigung
"
"36","HGB § 9a (1)"," Das Bundesministerium der Justiz wird ermächtigt, durch Rechtsverordnung mit Zustimmung des Bundesrates einer juristischen Person des Privatrechts die Aufgaben nach § 8b Abs. 1 zu übertragen. Der Beliehene erlangt die Stellung einer Justizbehörde des Bundes. Zur Erstellung von Beglaubigungen führt der Beliehene ein Dienstsiegel; nähere Einzelheiten hierzu können in der Rechtsverordnung nach Satz 1 geregelt werden. Die Dauer der Beleihung ist zu befristen; sie soll fünf Jahre nicht unterschreiten; Kündigungsrechte aus wichtigem Grund sind vorzusehen. Eine juristische Person des Privatrechts darf nur beliehen werden, wenn sie grundlegende Erfahrungen mit der Veröffentlichung von kapitalmarktrechtlichen Informationen und gerichtlichen Mitteilungen, insbesondere Handelsregisterdaten, hat und ihr eine ausreichende technische und finanzielle Ausstattung zur Verfügung steht, die die Gewähr für den langfristigen und sicheren Betrieb des Unternehmensregisters bietet."
"37","HGB § 9a (2)"," Das Bundesministerium der Justiz wird ermächtigt, durch Rechtsverordnung mit Zustimmung des Bundesrates Einzelheiten der Datenübermittlung zwischen den Behörden der Länder und dem Unternehmensregister einschließlich Vorgaben über Datenformate zu regeln. Abweichungen von den Verfahrensregelungen durch Landesrecht sind ausgeschlossen."
"38","HGB § 9a (3)"," Das Bundesministerium der Justiz wird ermächtigt, durch Rechtsverordnung ohne Zustimmung des Bundesrates die technischen Einzelheiten zu Aufbau und Führung des Unternehmensregisters, die technischen Einzelheiten zur Anmeldung und Identifikation von Nutzern des Unternehmensregisters, Einzelheiten der Datenübermittlung einschließlich Vorgaben über Datenformate, die nicht unter Absatz 2 fallen, Einzelheiten der Prüfung der übermittelten Daten, Löschungsfristen für die im Unternehmensregister gespeicherten Daten, Überwachungsrechte der Bundesanstalt für Finanzdienstleistungsaufsicht gegenüber dem Unternehmensregister hinsichtlich der Übermittlung, Einstellung, Verwaltung, Verarbeitung und des Abrufs kapitalmarktrechtlicher Daten einschließlich der Zusammenarbeit mit amtlich bestellten Speicherungssystemen anderer Mitgliedstaaten der Europäischen Union oder anderer Vertragsstaaten des Abkommens über den Europäischen Wirtschaftsraum im Rahmen des Aufbaus eines europaweiten Netzwerks zwischen den Speicherungssystemen, die Zulässigkeit sowie Art und Umfang von Auskunftsdienstleistungen mit den im Unternehmensregister gespeicherten Daten, die über die mit der Führung des Unternehmensregisters verbundenen Aufgaben nach diesem Gesetz hinausgehen, zu regeln. Soweit Regelungen getroffen werden, die kapitalmarktrechtliche Daten berühren, ist die Rechtsverordnung nach Satz 1 im Einvernehmen mit dem Bundesministerium der Finanzen zu erlassen. Die Rechtsverordnung nach Satz 1 hat dem schutzwürdigen Interesse der Unternehmen am Ausschluss einer zweckändernden Verwendung der im Register gespeicherten Daten angemessen Rechnung zu tragen."
"39","HGB § 9b ","§ 9bEuropäisches System der Registervernetzung
"
"40","HGB § 9b (1)"," Folgende Informationen und Unterlagen, soweit sie Kapitalgesellschaften betreffen oder Zweigniederlassungen von Kapitalgesellschaften, die dem Recht eines anderen Mitgliedstaates der Europäischen Union oder eines anderen Vertragsstaates des Abkommens über den Europäischen Wirtschaftsraum unterliegen, sind auch über das Europäische Justizportal zugänglich: 1.Eintragungen im Handelsregister,2.Registerbekanntmachungen,3.zum Handelsregister eingereichte Dokumente,4.Unterlagen der Rechnungslegung nach § 325 sowie5.eine Verschmelzungs-, Spaltungs- oder Formwechselbescheinigung nach § 316 Absatz 1 Satz 4, § 329 Satz 3 oder § 343 Absatz 1 Satz 4 des Umwandlungsgesetzes. Hierzu übermitteln die Landesjustizverwaltungen die Daten des Handelsregisters und die das Unternehmensregister führende Stelle übermittelt die Daten der Rechnungslegungsunterlagen jeweils an die zentrale Europäische Plattform nach Artikel 22 Absatz 1 der Richtlinie (EU) 2017/1132 des Europäischen Parlaments und des Rates vom 14. Juni 2017 über bestimmte Aspekte des Gesellschaftsrechts (ABl. L 169 vom 30.6.2017, S. 46), die zuletzt durch die Richtlinie (EU) 2019/2121 (ABl. L 321 vom 12.12.2019, S. 1; L 20 vom 24.1.2020, S. 24) geändert worden ist, soweit die Übermittlung für die Eröffnung eines Zugangs zu den Originaldaten über den Suchdienst auf der Internetseite des Europäischen Justizportals erforderlich ist. Die Zugänglichmachung der Informationen und Unterlagen über das Europäische Justizportal erfolgt nach Maßgabe der Bestimmungen der Durchführungsverordnung (EU) 2021/1042 der Kommission vom 18. Juni 2021 mit Durchführungsbestimmungen zur Richtlinie (EU) 2017/1132 des Europäischen Parlaments und des Rates in Bezug auf technische Spezifikationen und Verfahren für das System der Registervernetzung und zur Aufhebung der Durchführungsverordnung (EU) 2020/2244 der Kommission (ABl. L 225 vom 25.6.2021, S. 7)."
"41","HGB § 9b (2)"," Das Registergericht, bei dem das Registerblatt einer Kapitalgesellschaft oder Zweigniederlassung einer Kapitalgesellschaft im Sinne des Absatzes 1 Satz 1 geführt wird, nimmt am Informationsaustausch zwischen den Registern über die zentrale Europäische Plattform teil. Den Kapitalgesellschaften und Zweigniederlassungen von Kapitalgesellschaften im Sinne des Absatzes 1 Satz 1 ist zu diesem Zweck eine einheitliche europäische Kennung zuzuordnen. Das Registergericht übermittelt nach Maßgabe der folgenden Absätze an die zentrale Europäische Plattform die Informationen und Unterlagen über 1.die Eintragung der Eröffnung, Einstellung oder Aufhebung eines Insolvenzverfahrens über das Vermögen der Gesellschaft,2.die Eintragung der Auflösung der Gesellschaft und die Eintragung über den Schluss der Liquidation oder Abwicklung oder über die Fortsetzung der Gesellschaft,3.die Löschung der Gesellschaft,4.die Verschmelzungs-, Spaltungs- oder Formwechselbescheinigung nach § 316 Absatz 1 Satz 4, § 329 Satz 3 oder § 343 Absatz 1 Satz 4 des Umwandlungsgesetzes, das Wirksamwerden einer grenzüberschreitenden Umwandlung sowie die Eintragung der aus einer grenzüberschreitenden Spaltung hervorgehenden, neuen Gesellschaft oder die Eintragung der grenzüberschreitenden Spaltung zur Aufnahme im Register der übernehmenden Gesellschaft,5.die Eintragung der Errichtung der Zweigniederlassung und die Eintragung der Aufhebung der Zweigniederlassung sowie6.die Änderung folgender Daten der Gesellschaft oder der Zweigniederlassung: a)der Firma der Gesellschaft oder der Zweigniederlassung,b)des Sitzes der Gesellschaft oder der Geschäftsanschrift der Zweigniederlassung,c)der Rechtsform der Gesellschaft,d)der Eintragungsnummer der Gesellschaft oder der Zweigniederlassung,e)der Personen, die als gesetzlich vorgesehenes Gesellschaftsorgan oder als Mitglieder eines solchen Organs befugt sind, die Gesellschaft gerichtlich und außergerichtlich zu vertreten, oder die an der Verwaltung, Beaufsichtigung oder Kontrolle der Gesellschaft teilnehmen.Die Übermittlung der Informationen und Unterlagen erfolgt nach Maßgabe der Bestimmungen der Durchführungsverordnung (EU) 2021/1042."
"42","HGB § 9b (3)"," Die Landesjustizverwaltungen bestimmen das elektronische Informations- und Kommunikationssystem, über das die Daten aus dem Handelsregister zugänglich gemacht (Absatz 1) und im Rahmen des Informationsaustauschs zwischen den Registern übermittelt und empfangen werden (Absatz 2), und sie sind, vorbehaltlich der Zuständigkeit der das Unternehmensregister führenden Stelle nach Absatz 1 Satz 2, für die Abwicklung des Datenverkehrs nach den Absätzen 1 und 2 zuständig. § 9 Absatz 1 Satz 3 bis 5 gilt entsprechend."
"43","HGB § 9b (4)"," Die das Unternehmensregister führende Stelle übermittelt nach den Vorgaben der Durchführungsverordnung (EU) 2021/1042 eine Änderung der Unterlagen der Rechnungslegung, die eine Kapitalgesellschaft mit Sitz im Inland offengelegt hat (§ 325 Absatz 1b Satz 1), unverzüglich an die zentrale Europäische Plattform, wenn die Kapitalgesellschaft eine Zweigniederlassung errichtet hat, die dem Recht eines anderen Mitgliedstaates der Europäischen Union oder eines anderen Vertragsstaates des Abkommens über den Europäischen Wirtschaftsraum unterliegt. Empfängt die das Unternehmensregister führende Stelle über das Europäische System der Registervernetzung Daten zu einer Änderung der Unterlagen der Rechnungslegung einer Kapitalgesellschaft, die dem Recht eines anderen Mitgliedstaates der Europäischen Union oder eines anderen Vertragsstaates des Abkommens über den Europäischen Wirtschaftsraum unterliegt und die eine inländische Zweigniederlassung errichtet hat, so bestätigt die registerführende Stelle den Eingang der Daten über das Europäische System der Registervernetzung."
"44","HGB § 9c ","§ 9cInformationsaustausch über disqualifizierte Personen über das Europäische System der Registervernetzung
"
"45","HGB § 9c (1)"," Die das Unternehmensregister führende Stelle ist die zuständige Stelle für die Beantwortung eines über die zentrale Europäische Plattform gemäß § 9b Absatz 1 Satz 2 eingehenden Ersuchens eines anderen Mitgliedstaates der Europäischen Union oder eines anderen Vertragsstaates des Abkommens über den Europäischen Wirtschaftsraum nach Artikel 13i der Richtlinie (EU) 2017/1132 um Informationen, die relevant sind für die Disqualifikation einer Person 1.als Geschäftsführer einer Gesellschaft mit beschränkter Haftung gemäß § 6 Absatz 2 Satz 2 Nummer 2 und 3 des Gesetzes über die Gesellschaften mit beschränkter Haftung oder2.als Mitglied des Vorstands einer Aktiengesellschaft gemäß § 76 Absatz 3 Satz 2 Nummer 2 und 3 des Aktiengesetzes.Auf Anfrage eines Registergerichts führt die zuständige Stelle ein Ersuchen nach Artikel 13i der Richtlinie (EU) 2017/1132 gegenüber anderen Mitgliedstaaten der Europäischen Union oder anderen Vertragsstaaten des Abkommens über den Europäischen Wirtschaftsraum durch und leitet die erhaltenen Antworten an das anfragende Registergericht weiter."
"46","HGB § 9c (2)"," Die zuständige Stelle erhält zum Zweck der Beantwortung eines Ersuchens die für die Beantwortung erforderliche Auskunft aus dem Bundeszentralregister nach § 57a Absatz 4 des Bundeszentralregistergesetzes und aus dem Gewerbezentralregister nach § 150c Absatz 3 der Gewerbeordnung."
"47","HGB § 9c (3)"," Die Beantwortung und die Durchführung eines Ersuchens erfolgen gemäß den Bestimmungen der Durchführungsverordnung (EU) 2020/2244 sowie einer nach Absatz 6 erlassenen Verordnung."
"48","HGB § 9c (4)"," Die Beantwortung eines Ersuchens ist beschränkt auf die Angabe gemäß Artikel 13i Absatz 4 Satz 1 der Richtlinie (EU) 2017/1132, 1.ob die betroffene Person disqualifiziert ist a)gemäß § 6 Absatz 2 Satz 2 Nummer 2 und 3 des Gesetzes über die Gesellschaften mit beschränkter Haftung als Geschäftsführer einer Gesellschaft mit beschränkter Haftung oderb)gemäß § 76 Absatz 3 Satz 2 Nummer 2 und 3 des Aktiengesetzes als Mitglied des Vorstands einer Aktiengesellschaft oder2.ob entsprechende Informationen im Bundeszentralregister oder Gewerbezentralregister enthalten sind.Weitergehende Informationen über eine Disqualifikation der betroffenen Person werden durch die das Unternehmensregister führende Stelle über die zentrale Europäische Plattform nicht übermittelt."
"49","HGB § 9c (5)"," Die zuständige Stelle darf die von einem ersuchenden Mitgliedstaat, von einem Registergericht oder nach Absatz 2 übermittelten personenbezogenen Daten der betroffenen Personen für die Zwecke der Beantwortung und der Durchführung eines Ersuchens verarbeiten. Die personenbezogenen Daten der betroffenen Personen sind von der zuständigen Stelle unverzüglich zu löschen, sobald und soweit diese nicht mehr für die Beantwortung oder die Durchführung des Ersuchens erforderlich sind."
"50","HGB § 9c (6)"," Durch Rechtsverordnung nach § 9a Absatz 3 können auch die erforderlichen Bestimmungen in Bezug auf die Beantwortung und die Durchführung der Ersuchen durch die zuständige Stelle getroffen werden, einschließlich der Bestimmungen über 1.Inhalt, Frist, Form und Umfang der Beantwortung der Ersuchen,2.die technischen Einzelheiten zum Empfang, zur Verarbeitung und zur Weitergabe der erforderlichen Daten für die Beantwortung und die Durchführung der Ersuchen,3.die technischen Vorgaben zur Speicherung, Löschung, Berichtigung und Verarbeitung von Daten über die betroffenen Personen durch die zuständige Stelle,4.die Prüfung der vom Bundeszentralregister oder vom Gewerbezentralregister erhaltenen Daten im Hinblick auf die Erfüllung der Voraussetzungen einer Disqualifikation gemäß § 6 Absatz 2 Satz 2 Nummer 2 und 3 des Gesetzes über die Gesellschaften mit beschränkter Haftung oder gemäß § 76 Absatz 3 Satz 2 Nummer 2 und 3 des Aktiengesetzes,5.die Voraussetzungen, Formalien, Fristen und Inhalte der Durchführung der Ersuchen."
"51","HGB § 10 ","§ 10Bekanntmachung der Eintragungen; Registerbekanntmachungen
"
"52","HGB § 10 (1)"," Die Eintragungen in das Handelsregister sowie Registerbekanntmachungen nach Absatz 3 werden durch ihre erstmalige Abrufbarkeit über das nach § 9 Absatz 1 bestimmte elektronische Informations- und Kommunikationssystem bekannt gemacht. § 9 Absatz 1 Satz 4 und 5 gilt entsprechend."
"53","HGB § 10 (2)"," Die Eintragungen in das Handelsregister und die eingereichten Dokumente, die gemäß § 9 der unbeschränkten Einsichtnahme unterliegen, sind unverzüglich nach der Eintragung in das Handelsregister zum Abruf über das nach § 9 Absatz 1 bestimmte elektronische Informations- und Kommunikationssystem bereitzustellen."
"54","HGB § 10 (3)"," Das Registergericht kann in den gesetzlich bestimmten Fällen in dem nach § 9 Absatz 1 bestimmten elektronischen Informations- und Kommunikationssystem sonstige oder zusätzliche Tatsachen bekannt machen (Registerbekanntmachungen)."
"55","HGB § 10 (4)"," Eine Eintragung gilt mit dem Ablauf des Tages der Eintragung und eine Registerbekanntmachung gilt mit dem Ablauf des Tages der Registerbekanntmachung als bekannt gemacht. Dies gilt nicht, wenn der Nachweis erbracht wird, dass der Abruf der Eintragung oder der Registerbekanntmachung 1.bereits zu einem früheren Zeitpunkt möglich war oder2.erstmalig erst zu einem späteren Zeitpunkt möglich war."
"56","HGB § 10a ","§ 10aAnwendung der Verordnung (EU) 2016/679
"
"57","HGB § 10a (1)"," Das Auskunftsrecht nach Artikel 15 Absatz 1 und das Recht auf Erhalt einer Kopie nach Artikel 15 Absatz 3 der Verordnung (EU) 2016/679 des Europäischen Parlaments und des Rates vom 27. April 2016 zum Schutz natürlicher Personen bei der Verarbeitung personenbezogener Daten, zum freien Datenverkehr und zur Aufhebung der Richtlinie 95/46/EG (Datenschutz-Grundverordnung) (ABl. L 119 vom 4.5.2016, S. 1; L 314 vom 22.11.2016, S. 72) wird dadurch erfüllt, dass die betroffene Person Einsicht in das Handelsregister und in die zum Handelsregister eingereichten Dokumente nehmen kann. Eine Information der betroffenen Person über konkrete Empfänger, gegenüber denen die im Register, in Registerbekanntmachungen oder in zum Register einzureichenden Dokumenten enthaltenen personenbezogenen Daten offengelegt werden, erfolgt nicht."
"58","HGB § 10a (2)"," Hinsichtlich der im Handelsregister, in Registerbekanntmachungen oder in zum Handelsregister einzureichenden Dokumenten enthaltenen personenbezogenen Daten kann das Recht auf Berichtigung nach Artikel 16 der Verordnung (EU) 2016/679 nur unter den Voraussetzungen ausgeübt werden, die in den §§ 393 bis 395 und §§ 397 bis 399 des Gesetzes über das Verfahren in Familiensachen und in den Angelegenheiten der Freiwilligen Gerichtsbarkeit sowie der Rechtsverordnung nach § 387 Absatz 2 des Gesetzes über das Verfahren in Familiensachen und in den Angelegenheiten der Freiwilligen Gerichtsbarkeit für eine Löschung oder Berichtigung vorgesehen sind."
"59","HGB § 10a (3)"," Das Widerspruchsrecht gemäß Artikel 21 der Verordnung (EU) 2016/679 findet in Bezug auf die im Handelsregister, in Registerbekanntmachungen oder in zum Handelsregister einzureichenden Dokumenten enthaltenen personenbezogenen Daten keine Anwendung."
