"","fromDORA","toDORA"
"135","Art 13, Abs 3","Art 12, Abs 3"
"136","Art 13, Abs 3","Art 12, Abs 4"
"137","Art 13, Abs 3","Art 12, Abs 5"
"138","Art 13, Abs 3","Art 12, Abs 6"
"139","Art 13, Abs 3","Art 12, Abs 7"
"140","Art 13, Abs 3","Art 13, Abs 1"
"141","Art 13, Abs 3","Art 13, Abs 2"
"142","Art 13, Abs 3","Art 13, Abs 3"
"143","Art 13, Abs 3","Art 13, Abs 4"
"144","Art 13, Abs 3","Art 13, Abs 5"
"145","Art 13, Abs 3","Art 13, Abs 6"
"146","Art 13, Abs 3","Art 13, Abs 7"
"147","Art 13, Abs 3","Art 14, Abs 1"
"148","Art 13, Abs 3","Art 14, Abs 2"
"149","Art 13, Abs 3","Art 14, Abs 3"
"150","Art 13, Abs 3","Art 15, Abs 1"
"151","Art 13, Abs 3","Art 16, Abs 1"
"152","Art 13, Abs 3","Art 16, Abs 2"
"153","Art 13, Abs 3","Art 16, Abs 3"
"154","Art 13, Abs 3","Art 17, Abs 1"
"155","Art 13, Abs 3","Art 17, Abs 2"
"156","Art 13, Abs 3","Art 17, Abs 3"
"157","Art 13, Abs 3","Art 18, Abs 1"
"158","Art 13, Abs 3","Art 18, Abs 2"
"159","Art 13, Abs 3","Art 18, Abs 3"
"160","Art 13, Abs 3","Art 18, Abs 4"
"161","Art 13, Abs 3","Art 19, Abs 1"
"162","Art 13, Abs 3","Art 19, Abs 2"
"163","Art 13, Abs 3","Art 19, Abs 3"
"164","Art 13, Abs 3","Art 19, Abs 4"
"165","Art 13, Abs 3","Art 19, Abs 5"
"166","Art 13, Abs 3","Art 19, Abs 6"
"167","Art 13, Abs 3","Art 19, Abs 7"
"168","Art 13, Abs 3","Art 19, Abs 8"
"169","Art 13, Abs 3","Art 20, Abs 1"
"170","Art 13, Abs 3","Art 21, Abs 1"
"171","Art 13, Abs 3","Art 21, Abs 2"
"172","Art 13, Abs 3","Art 21, Abs 3"
"173","Art 13, Abs 3","Art 22, Abs 1"
"174","Art 13, Abs 3","Art 22, Abs 2"
"175","Art 13, Abs 3","Art 23, Abs 1"
"176","Art 13, Abs 3","Art 24, Abs 1"
"177","Art 13, Abs 3","Art 24, Abs 2"
"178","Art 13, Abs 3","Art 24, Abs 3"
"179","Art 13, Abs 3","Art 24, Abs 4"
"180","Art 13, Abs 3","Art 24, Abs 5"
"181","Art 13, Abs 3","Art 24, Abs 6"
"182","Art 13, Abs 3","Art 25, Abs 1"
"183","Art 13, Abs 3","Art 25, Abs 2"
"184","Art 13, Abs 3","Art 25, Abs 3"
"185","Art 13, Abs 3","Art 26, Abs 1"
"186","Art 13, Abs 3","Art 26, Abs 2"
"187","Art 13, Abs 3","Art 26, Abs 3"
"188","Art 13, Abs 3","Art 26, Abs 4"
"189","Art 13, Abs 3","Art 26, Abs 5"
"190","Art 13, Abs 3","Art 26, Abs 6"
"191","Art 13, Abs 3","Art 26, Abs 7"
"192","Art 13, Abs 3","Art 26, Abs 8"
"193","Art 13, Abs 3","Art 26, Abs 9"
"194","Art 13, Abs 3","Art 26, Abs 10"
"195","Art 13, Abs 3","Art 26, Abs 11"
"196","Art 13, Abs 3","Art 27, Abs 1"
"197","Art 13, Abs 3","Art 27, Abs 2"
"198","Art 13, Abs 3","Art 27, Abs 3"
"199","Art 13, Abs 3","Art 28, Abs 1"
"200","Art 13, Abs 3","Art 28, Abs 2"
"201","Art 13, Abs 3","Art 28, Abs 3"
"202","Art 13, Abs 3","Art 28, Abs 4"
"203","Art 13, Abs 3","Art 28, Abs 5"
"204","Art 13, Abs 3","Art 28, Abs 6"
"205","Art 13, Abs 3","Art 28, Abs 7"
"206","Art 13, Abs 3","Art 28, Abs 8"
"207","Art 13, Abs 3","Art 28, Abs 9"
"208","Art 13, Abs 3","Art 28, Abs 10"
"209","Art 13, Abs 3","Art 29, Abs 1"
"210","Art 13, Abs 3","Art 29, Abs 2"
"211","Art 13, Abs 3","Art 30, Abs 1"
"212","Art 13, Abs 3","Art 30, Abs 2"
"213","Art 13, Abs 3","Art 30, Abs 3"
"214","Art 13, Abs 3","Art 30, Abs 4"
"215","Art 13, Abs 3","Art 30, Abs 5"
"216","Art 13, Abs 3","Art 31, Abs 1"
"217","Art 13, Abs 3","Art 31, Abs 2"
"218","Art 13, Abs 3","Art 31, Abs 3"
"219","Art 13, Abs 3","Art 31, Abs 4"
"220","Art 13, Abs 3","Art 31, Abs 5"
"221","Art 13, Abs 3","Art 31, Abs 6"
"222","Art 13, Abs 3","Art 31, Abs 7"
"223","Art 13, Abs 3","Art 31, Abs 8"
"224","Art 13, Abs 3","Art 31, Abs 9"
"225","Art 13, Abs 3","Art 31, Abs 10"
"226","Art 13, Abs 3","Art 31, Abs 11"
"227","Art 13, Abs 3","Art 31, Abs 12"
"228","Art 13, Abs 3","Art 31, Abs 13"
"229","Art 13, Abs 3","Art 32, Abs 1"
"230","Art 13, Abs 3","Art 32, Abs 2"
"231","Art 13, Abs 3","Art 32, Abs 3"
"232","Art 13, Abs 3","Art 32, Abs 4"
"233","Art 13, Abs 3","Art 32, Abs 5"
"234","Art 13, Abs 3","Art 32, Abs 6"
"235","Art 13, Abs 3","Art 32, Abs 7"
"236","Art 13, Abs 3","Art 32, Abs 8"
"237","Art 13, Abs 3","Art 32, Abs 9"
"238","Art 13, Abs 3","Art 33, Abs 1"
"239","Art 13, Abs 3","Art 33, Abs 2"
"240","Art 13, Abs 3","Art 33, Abs 3"
"241","Art 13, Abs 3","Art 33, Abs 4"
"242","Art 13, Abs 3","Art 33, Abs 5"
"243","Art 13, Abs 3","Art 34, Abs 1"
"244","Art 13, Abs 3","Art 34, Abs 2"
"245","Art 13, Abs 3","Art 34, Abs 3"
"246","Art 13, Abs 3","Art 35, Abs 1"
"247","Art 13, Abs 3","Art 35, Abs 2"
"248","Art 13, Abs 3","Art 35, Abs 3"
"249","Art 13, Abs 3","Art 35, Abs 4"
"250","Art 13, Abs 3","Art 35, Abs 5"
"251","Art 13, Abs 3","Art 35, Abs 6"
"252","Art 13, Abs 3","Art 35, Abs 7"
"253","Art 13, Abs 3","Art 35, Abs 8"
"254","Art 13, Abs 3","Art 35, Abs 9"
"255","Art 13, Abs 3","Art 35, Abs 10"
"256","Art 13, Abs 3","Art 35, Abs 11"
"257","Art 13, Abs 3","Art 36, Abs 1"
"258","Art 13, Abs 3","Art 36, Abs 2"
"259","Art 13, Abs 3","Art 36, Abs 3"
"260","Art 13, Abs 3","Art 37, Abs 1"
"261","Art 13, Abs 3","Art 37, Abs 2"
"262","Art 13, Abs 3","Art 37, Abs 3"
"263","Art 13, Abs 3","Art 37, Abs 4"
"264","Art 13, Abs 3","Art 37, Abs 5"
"265","Art 13, Abs 3","Art 38, Abs 1"
"266","Art 13, Abs 3","Art 38, Abs 2"
"267","Art 13, Abs 3","Art 38, Abs 3"
"268","Art 13, Abs 3","Art 38, Abs 4"
"269","Art 13, Abs 3","Art 38, Abs 5"
"270","Art 13, Abs 3","Art 39, Abs 1"
"271","Art 13, Abs 3","Art 39, Abs 2"
"272","Art 13, Abs 3","Art 39, Abs 3"
"273","Art 13, Abs 3","Art 39, Abs 4"
"274","Art 13, Abs 3","Art 39, Abs 5"
"275","Art 13, Abs 3","Art 39, Abs 6"
"276","Art 13, Abs 3","Art 39, Abs 7"
"277","Art 13, Abs 3","Art 40, Abs 1"
"278","Art 13, Abs 3","Art 40, Abs 2"
"279","Art 13, Abs 3","Art 40, Abs 3"
"280","Art 13, Abs 3","Art 40, Abs 4"
"281","Art 13, Abs 3","Art 41, Abs 1"
"282","Art 13, Abs 3","Art 41, Abs 2"
"283","Art 13, Abs 3","Art 42, Abs 1"
"284","Art 13, Abs 3","Art 42, Abs 2"
"285","Art 13, Abs 3","Art 42, Abs 3"
"286","Art 13, Abs 3","Art 42, Abs 4"
"287","Art 13, Abs 3","Art 42, Abs 5"
"288","Art 13, Abs 3","Art 42, Abs 6"
"289","Art 13, Abs 3","Art 42, Abs 7"
"290","Art 13, Abs 3","Art 42, Abs 8"
"291","Art 13, Abs 3","Art 42, Abs 9"
"292","Art 13, Abs 3","Art 42, Abs 10"
"293","Art 13, Abs 3","Art 42, Abs 11"
"294","Art 13, Abs 3","Art 43, Abs 1"
"295","Art 13, Abs 3","Art 43, Abs 2"
"296","Art 13, Abs 3","Art 44, Abs 1"
"297","Art 13, Abs 3","Art 44, Abs 2"
"298","Art 13, Abs 3","Art 45, Abs 1"
"299","Art 13, Abs 3","Art 45, Abs 2"
"300","Art 13, Abs 3","Art 45, Abs 3"
"301","Art 13, Abs 3","Art 46, Abs 1"
"302","Art 13, Abs 3","Art 47, Abs 1"
"303","Art 13, Abs 3","Art 47, Abs 2"
"304","Art 13, Abs 3","Art 47, Abs 3"
"305","Art 13, Abs 3","Art 47, Abs 4"
"306","Art 13, Abs 3","Art 48, Abs 1"
"307","Art 13, Abs 3","Art 48, Abs 2"
"308","Art 13, Abs 3","Art 49, Abs 1"
"309","Art 13, Abs 3","Art 49, Abs 2"
"310","Art 13, Abs 3","Art 5, Abs 1"
"311","Art 13, Abs 3","Art 5, Abs 2"
"312","Art 13, Abs 3","Art 5, Abs 3"
"313","Art 13, Abs 3","Art 5, Abs 4"
"314","Art 13, Abs 3","Art 50, Abs 1"
"315","Art 13, Abs 3","Art 50, Abs 2"
"316","Art 13, Abs 3","Art 50, Abs 3"
"317","Art 13, Abs 3","Art 50, Abs 4"
"318","Art 13, Abs 3","Art 50, Abs 5"
"319","Art 13, Abs 3","Art 50, Abs 6"
"320","Art 13, Abs 3","Art 51, Abs 1"
"321","Art 13, Abs 3","Art 51, Abs 2"
"322","Art 13, Abs 3","Art 52, Abs 1"
"323","Art 13, Abs 3","Art 52, Abs 2"
"324","Art 13, Abs 3","Art 53, Abs 1"
"325","Art 13, Abs 3","Art 54, Abs 1"
"326","Art 13, Abs 3","Art 54, Abs 1"
"327","Art 13, Abs 3","Art 54, Abs 2"
"328","Art 13, Abs 3","Art 54, Abs 3"
"329","Art 13, Abs 3","Art 54, Abs 4"
"330","Art 13, Abs 3","Art 54, Abs 5"
"331","Art 13, Abs 3","Art 54, Abs 6"
"332","Art 13, Abs 3","Art 55, Abs 2"
"333","Art 13, Abs 3","Art 55, Abs 3"
"334","Art 13, Abs 3","Art 55, Abs 4"
"335","Art 13, Abs 3","Art 56, Abs 1"
"336","Art 13, Abs 3","Art 56, Abs 2"
"337","Art 13, Abs 3","Art 57, Abs 1"
"338","Art 13, Abs 3","Art 57, Abs 2"
"339","Art 13, Abs 3","Art 57, Abs 3"
"340","Art 13, Abs 3","Art 57, Abs 4"
"341","Art 13, Abs 3","Art 57, Abs 5"
"342","Art 13, Abs 3","Art 57, Abs 6"
"343","Art 13, Abs 3","Art 58, Abs 1"
"344","Art 13, Abs 3","Art 58, Abs 2"
"345","Art 13, Abs 3","Art 58, Abs 3"
"346","Art 13, Abs 3","Art 6, Abs 1"
"347","Art 13, Abs 3","Art 6, Abs 2"
"348","Art 13, Abs 3","Art 6, Abs 3"
"349","Art 13, Abs 3","Art 6, Abs 4"
"350","Art 13, Abs 3","Art 6, Abs 5"
"351","Art 13, Abs 3","Art 6, Abs 6"
"352","Art 13, Abs 3","Art 6, Abs 7"
"353","Art 13, Abs 3","Art 6, Abs 8"
"354","Art 13, Abs 3","Art 6, Abs 9"
"355","Art 13, Abs 3","Art 6, Abs 10"
"356","Art 13, Abs 3","Art 7, Abs 1"
"357","Art 13, Abs 3","Art 8, Abs 1"
"358","Art 13, Abs 3","Art 8, Abs 2"
"359","Art 13, Abs 3","Art 8, Abs 3"
"360","Art 13, Abs 3","Art 8, Abs 4"
"361","Art 13, Abs 3","Art 8, Abs 5"
"362","Art 13, Abs 3","Art 8, Abs 6"
"363","Art 13, Abs 3","Art 8, Abs 7"
"364","Art 13, Abs 3","Art 9, Abs 1"
"365","Art 13, Abs 3","Art 9, Abs 2"
"366","Art 13, Abs 3","Art 9, Abs 3"
"367","Art 13, Abs 3","Art 9, Abs 4"
"368","Art 13, Abs 4","Art 6, Abs 8"
"369","Art 13, Abs 5","Art 13, Abs 3"
"370","Art 13, Abs 6","Art 30, Abs 2"
"371","Art 14, Abs 1","Art 6, Abs 1"
"372","Art 14, Abs 1","Art 6, Abs 10"
"373","Art 15, Abs 1","Art 9, Abs 2"
"374","Art 15, Abs 1","Art 9, Abs 4"
"375","Art 15, Abs 1","Art 10, Abs 1"
"376","Art 15, Abs 1","Art 10, Abs 2"
"377","Art 15, Abs 1","Art 11, Abs 1"
"378","Art 15, Abs 1","Art 11, Abs 10"
"379","Art 15, Abs 1","Art 11, Abs 11"
"380","Art 15, Abs 1","Art 11, Abs 6"
"381","Art 15, Abs 1","Art 11, Abs 3"
"382","Art 15, Abs 1","Art 6, Abs 5"
"383","Art 16, Abs 2","Art 16, Abs 1"
"384","Art 16, Abs 3","Art 16, Abs 1"
"385","Art 16, Abs 3","Art 16, Abs 2"
"386","Art 17, Abs 3","Art 16, Abs 1"
"387","Art 17, Abs 3","Art 14, Abs 1"
"388","Art 17, Abs 3","Art 14, Abs 2"
"389","Art 17, Abs 3","Art 14, Abs 3"
"390","Art 17, Abs 3","Art 18, Abs 1"
"391","Art 18, Abs 3","Art 18, Abs 1"
"392","Art 18, Abs 3","Art 19, Abs 1"
"393","Art 18, Abs 3","Art 19, Abs 6"
"394","Art 18, Abs 3","Art 19, Abs 7"
"395","Art 18, Abs 3","Art 18, Abs 2"
"396","Art 18, Abs 4","Art 18, Abs 3"
"397","Art 19, Abs 1","Art 40, Abs 1"
"398","Art 19, Abs 1","Art 40, Abs 2"
"399","Art 19, Abs 1","Art 40, Abs 3"
"400","Art 19, Abs 1","Art 40, Abs 4"
"401","Art 19, Abs 1","Art 41, Abs 1"
"402","Art 19, Abs 1","Art 41, Abs 2"
"403","Art 19, Abs 1","Art 42, Abs 1"
"404","Art 19, Abs 1","Art 42, Abs 2"
"405","Art 19, Abs 1","Art 42, Abs 3"
"406","Art 19, Abs 1","Art 42, Abs 4"
"407","Art 19, Abs 1","Art 42, Abs 5"
"408","Art 19, Abs 1","Art 42, Abs 6"
"409","Art 19, Abs 1","Art 42, Abs 7"
"410","Art 19, Abs 1","Art 42, Abs 8"
"411","Art 19, Abs 1","Art 42, Abs 9"
"412","Art 19, Abs 1","Art 42, Abs 10"
"413","Art 19, Abs 1","Art 42, Abs 11"
"414","Art 19, Abs 1","Art 43, Abs 1"
"415","Art 19, Abs 1","Art 43, Abs 2"
"416","Art 19, Abs 1","Art 44, Abs 1"
"417","Art 19, Abs 1","Art 44, Abs 2"
"418","Art 19, Abs 1","Art 45, Abs 1"
"419","Art 19, Abs 1","Art 45, Abs 2"
"420","Art 19, Abs 1","Art 45, Abs 3"
"421","Art 19, Abs 1","Art 46, Abs 1"
"422","Art 19, Abs 1","Art 47, Abs 1"
"423","Art 19, Abs 1","Art 47, Abs 2"
"424","Art 19, Abs 1","Art 47, Abs 3"
"425","Art 19, Abs 1","Art 47, Abs 4"
"426","Art 19, Abs 1","Art 48, Abs 1"
"427","Art 19, Abs 1","Art 48, Abs 2"
"428","Art 19, Abs 1","Art 49, Abs 1"
"429","Art 19, Abs 1","Art 49, Abs 2"
"430","Art 19, Abs 1","Art 20, Abs 1"
"431","Art 19, Abs 1","Art 19, Abs 4"
"432","Art 19, Abs 1","Art 20, Abs 1"
"433","Art 19, Abs 2","Art 19, Abs 6"
"434","Art 19, Abs 4","Art 20, Abs 1"
"435","Art 19, Abs 7","Art 19, Abs 6"
"436","Art 19, Abs 8","Art 19, Abs 7"
"437","Art 20, Abs 1","Art 18, Abs 1"
"438","Art 20, Abs 1","Art 19, Abs 4"
"439","Art 22, Abs 1","Art 19, Abs 4"
"440","Art 22, Abs 1","Art 19, Abs 1"
"441","Art 22, Abs 2","Art 19, Abs 6"
"442","Art 24, Abs 1","Art 24, Abs 6"
"443","Art 24, Abs 2","Art 25, Abs 1"
"444","Art 24, Abs 2","Art 25, Abs 2"
"445","Art 24, Abs 2","Art 25, Abs 3"
"446","Art 24, Abs 2","Art 26, Abs 1"
"447","Art 24, Abs 2","Art 26, Abs 2"
"448","Art 24, Abs 2","Art 26, Abs 3"
"449","Art 24, Abs 2","Art 26, Abs 4"
"450","Art 24, Abs 2","Art 26, Abs 5"
"451","Art 24, Abs 2","Art 26, Abs 6"
"452","Art 24, Abs 2","Art 26, Abs 7"
"453","Art 24, Abs 2","Art 26, Abs 8"
"454","Art 24, Abs 2","Art 26, Abs 9"
"455","Art 24, Abs 2","Art 26, Abs 10"
"456","Art 24, Abs 2","Art 26, Abs 11"
"457","Art 24, Abs 3","Art 24, Abs 1"
"458","Art 25, Abs 1","Art 24, Abs 1"
"459","Art 25, Abs 1","Art 24, Abs 2"
"460","Art 25, Abs 1","Art 24, Abs 3"
"461","Art 25, Abs 1","Art 24, Abs 4"
"462","Art 25, Abs 1","Art 24, Abs 5"
"463","Art 25, Abs 1","Art 24, Abs 6"
"464","Art 26, Abs 1","Art 26, Abs 8"
"465","Art 26, Abs 1","Art 16, Abs 1"
"466","Art 26, Abs 4","Art 26, Abs 3"
"467","Art 26, Abs 4","Art 26, Abs 2"
"468","Art 26, Abs 6","Art 26, Abs 9"
"469","Art 26, Abs 6","Art 26, Abs 10"
"470","Art 26, Abs 7","Art 26, Abs 4"
"471","Art 26, Abs 8","Art 27, Abs 1"
"472","Art 26, Abs 10","Art 27, Abs 1"
"473","Art 26, Abs 10","Art 27, Abs 2"
"474","Art 26, Abs 10","Art 27, Abs 3"
"475","Art 26, Abs 11","Art 26, Abs 2"
"476","Art 26, Abs 11","Art 26, Abs 8"
"477","Art 27, Abs 2","Art 27, Abs 1"
"478","Art 27, Abs 2","Art 26, Abs 9"
"479","Art 27, Abs 2","Art 26, Abs 10"
"480","Art 28, Abs 2","Art 16, Abs 1"
"481","Art 28, Abs 2","Art 6, Abs 9"
"482","Art 28, Abs 4","Art 29, Abs 1"
"483","Art 28, Abs 4","Art 29, Abs 2"
"484","Art 28, Abs 8","Art 28, Abs 7"
"485","Art 28, Abs 9","Art 28, Abs 3"
"486","Art 28, Abs 10","Art 28, Abs 2"
"487","Art 29, Abs 1","Art 28, Abs 4"
"488","Art 30, Abs 2","Art 13, Abs 6"
"489","Art 30, Abs 3","Art 26, Abs 1"
"490","Art 30, Abs 3","Art 26, Abs 2"
"491","Art 30, Abs 3","Art 26, Abs 3"
"492","Art 30, Abs 3","Art 26, Abs 4"
"493","Art 30, Abs 3","Art 26, Abs 5"
"494","Art 30, Abs 3","Art 26, Abs 6"
"495","Art 30, Abs 3","Art 26, Abs 7"
"496","Art 30, Abs 3","Art 26, Abs 8"
"497","Art 30, Abs 3","Art 26, Abs 9"
"498","Art 30, Abs 3","Art 26, Abs 10"
"499","Art 30, Abs 3","Art 26, Abs 11"
"500","Art 30, Abs 3","Art 27, Abs 1"
"501","Art 30, Abs 3","Art 27, Abs 2"
"502","Art 30, Abs 3","Art 27, Abs 3"
"503","Art 30, Abs 5","Art 30, Abs 2"
"504","Art 31, Abs 1","Art 31, Abs 2"
"505","Art 31, Abs 1","Art 32, Abs 1"
"506","Art 31, Abs 2","Art 31, Abs 1"
"507","Art 31, Abs 2","Art 31, Abs 10"
"508","Art 31, Abs 2","Art 31, Abs 11"
"509","Art 31, Abs 2","Art 31, Abs 12"
"510","Art 31, Abs 2","Art 31, Abs 13"
"511","Art 31, Abs 5","Art 31, Abs 1"
"512","Art 31, Abs 5","Art 31, Abs 10"
"513","Art 31, Abs 5","Art 31, Abs 11"
"514","Art 31, Abs 5","Art 31, Abs 12"
"515","Art 31, Abs 5","Art 31, Abs 13"
"516","Art 31, Abs 6","Art 57, Abs 1"
"517","Art 31, Abs 6","Art 57, Abs 2"
"518","Art 31, Abs 6","Art 57, Abs 3"
"519","Art 31, Abs 6","Art 57, Abs 4"
"520","Art 31, Abs 6","Art 57, Abs 5"
"521","Art 31, Abs 6","Art 57, Abs 6"
"522","Art 31, Abs 6","Art 31, Abs 2"
"523","Art 31, Abs 7","Art 31, Abs 1"
"524","Art 31, Abs 7","Art 31, Abs 10"
"525","Art 31, Abs 7","Art 31, Abs 11"
"526","Art 31, Abs 7","Art 31, Abs 12"
"527","Art 31, Abs 7","Art 31, Abs 13"
"528","Art 31, Abs 8","Art 31, Abs 1"
"529","Art 31, Abs 8","Art 31, Abs 10"
"530","Art 31, Abs 8","Art 31, Abs 11"
"531","Art 31, Abs 8","Art 31, Abs 12"
"532","Art 31, Abs 8","Art 31, Abs 13"
"533","Art 31, Abs 10","Art 32, Abs 1"
"534","Art 31, Abs 10","Art 32, Abs 2"
"535","Art 31, Abs 10","Art 32, Abs 3"
"536","Art 31, Abs 10","Art 32, Abs 4"
"537","Art 31, Abs 10","Art 32, Abs 5"
